fieldId,fov,ra,dec,gl,gb,el,eb
280,3.5,284.441011,-63.578313,-27.730722,-24.789344,-81.532336,-40.560091
281,3.5,75.558989,-63.578313,-86.390702,-36.156404,19.497516,-83.242311
282,3.5,298.613637,-63.321044,-26.773374,-31.059815,-73.238878,-41.531032
283,3.5,61.386363,-63.321044,-84.089177,-42.227673,1.723746,-77.577861
284,3.5,226.613507,-63.321042,-42.579882,-4.31279,-115.152545,-43.63148
285,3.5,133.386493,-63.321042,-80.340491,-11.798196,-169.63208,-71.731583
286,3.5,277.386481,-63.32103,-28.320798,-21.674047,-85.610271,-39.993132
287,3.5,82.613519,-63.32103,-87.247174,-33.073802,42.682591,-85.501304
288,3.5,205.386437,-63.321027,-51.478591,-0.994365,-127.254341,-48.008228
289,3.5,154.613563,-63.321027,-73.278661,-5.371341,-156.142669,-63.685566
290,3.5,349.386443,-63.321004,-40.662861,-50.711507,-44.273542,-51.897936
291,3.5,10.613557,-63.321004,-55.361782,-53.777474,-32.283286,-58.506676
292,3.5,198.5178,-62.802646,-54.485235,-0.044457,-131.599565,-49.315186
293,3.5,161.4822,-62.802646,-70.859118,-3.341196,-152.954293,-60.901802
294,3.5,270.517736,-62.802643,-28.965953,-18.579733,-89.625214,-39.364551
295,3.5,89.482264,-62.802643,-87.954338,-29.978898,86.462043,-86.2348
296,3.5,233.48221,-62.802624,-39.67153,-5.556145,-111.42176,-42.062256
297,3.5,126.51779,-62.802624,-82.63126,-14.024547,-176.40225,-74.187035
298,3.5,342.517843,-62.802614,-36.389927,-49.167821,-47.670821,-49.590544
299,3.5,17.482157,-62.802614,-60.678123,-54.195839,-27.521669,-60.535578
300,3.5,305.4822,-62.802603,-26.399073,-34.196984,-69.045272,-41.913317
301,3.5,54.5178,-62.802603,-82.604841,-45.192622,-2.589761,-74.59824
302,3.5,180.0,-62.510696,-62.964541,-0.229293,-142.535136,-54.478742
303,3.5,252.000017,-62.510673,-33.246344,-11.173847,-100.621023,-39.738387
304,3.5,107.999983,-62.510673,-86.695528,-21.573497,160.782589,-81.308361
305,3.5,324.000005,-62.510666,-28.968173,-42.436516,-58.110119,-44.908785
306,3.5,35.999995,-62.510666,-73.996991,-51.467402,-15.48422,-67.193311
307,3.5,191.944607,-62.021192,-57.497323,0.847507,-136.11772,-50.500511
308,3.5,168.055393,-62.021192,-68.422031,-1.356548,-150.194623,-58.089431
309,3.5,240.055345,-62.021178,-36.784604,-6.833078,-107.849431,-40.43256
310,3.5,119.944655,-62.021178,-84.916197,-16.261425,174.774861,-76.397633
311,3.5,335.944596,-62.021161,-32.44921,-47.435734,-50.80907,-47.238401
312,3.5,24.055404,-62.021161,-66.052915,-54.318959,-22.245305,-62.41407
313,3.5,312.055468,-62.021158,-26.068864,-37.326859,-64.831472,-42.197914
314,3.5,47.944532,-62.021158,-80.885016,-48.103872,-5.687776,-71.587829
315,3.5,263.944623,-62.021153,-29.643785,-15.506033,-93.564974,-38.658871
316,3.5,96.055377,-62.021153,-88.553365,-26.882106,122.880591,-84.75999
317,3.5,216.000042,-61.126884,-46.129045,-0.236474,-122.621661,-43.672797
318,3.5,143.999958,-61.126884,-78.546208,-6.693919,-167.248312,-66.395522
319,3.5,288.00006,-61.126877,-24.729644,-25.964007,-78.959397,-38.372026
320,3.5,71.99994,-61.126877,-88.949671,-38.296777,26.144923,-80.437289
321,3.5,0.0,-61.126856,-46.292855,-54.912241,-35.736167,-53.459312
322,3.5,281.511345,-61.011018,-25.341914,-22.874071,-82.895483,-37.853212
323,3.5,78.488655,-61.011018,-89.781141,-35.228394,42.294236,-82.495192
324,3.5,222.488718,-61.010993,-43.201106,-1.371122,-118.798471,-42.247072
325,3.5,137.511282,-61.010993,-80.8631,-8.836102,-172.345681,-68.866993
326,3.5,209.511258,-61.010993,-49.08443,0.824088,-126.576756,-45.038188
327,3.5,150.488742,-61.010993,-76.19535,-4.599588,-162.937241,-63.831006
328,3.5,294.488727,-61.01099,-24.174248,-29.064932,-74.985532,-38.836781
329,3.5,65.511273,-61.01099,-87.941594,-41.339668,15.835509,-77.951138
330,3.5,353.511315,-61.010965,-41.335219,-53.689564,-39.518414,-51.329446
331,3.5,6.488685,-61.010965,-51.571635,-55.844504,-31.655308,-55.51975
332,3.5,329.752983,-60.981233,-28.811435,-45.556337,-53.70544,-44.838322
333,3.5,30.247017,-60.981233,-71.405323,-54.168487,-16.369338,-64.092789
334,3.5,246.24702,-60.981228,-33.906557,-8.120564,-104.437419,-38.733307
335,3.5,113.75298,-60.981228,-87.219375,-18.490652,163.122719,-78.213693
336,3.5,185.752985,-60.981226,-60.510169,1.700403,-140.816723,-51.532825
337,3.5,174.247015,-60.981226,-65.975272,0.596457,-147.792957,-55.250135
338,3.5,318.246991,-60.981178,-25.757051,-40.447904,-60.605733,-42.361986
339,3.5,41.753009,-60.981178,-78.916092,-50.961967,-8.022765,-68.559612
